ZO6041,ZO6041.xml,Fri Apr 24 15:09:57 AEST 2020
FastTracks: v3.0.16
Pixel Calibration X:,0.0873015873015873,
Pixel Calibration Y:,0.0873015873015873
Length Name,Length Number,Type,Apparent Length,Corrected Z Depth,True Length,Azimuth,Dip,Angle to CAxis,Average DPar(µmm),DPar Std Deviation,Notes
Length12,1,T,12.76,0.00,12.76,62.12,0.00,62.12,1.29,0.26,""
Length12b,1,T,10.92,3.44,11.45,60.86,17.46,62.32,1.29,0.26,""
Length13,1,T,11.14,3.44,11.66,80.65,17.14,81.07,1.35,0.30,""
Length14,1,T,13.36,0.49,13.36,44.43,2.10,44.47,1.57,0.18,""
Length14b,1,T,15.10,1.96,15.23,40.12,7.41,40.69,1.57,0.18,""
Length14c,1,T,11.83,1.96,11.99,85.15,9.42,85.22,1.57,0.18,""
Length15,1,T,13.52,0.49,13.53,86.66,2.08,86.66,1.24,0.23,""
Length16,1,T,15.62,0.49,15.63,81.79,1.80,81.79,1.42,0.19,""
Length16,2,T,12.24,0.98,12.28,62.75,4.58,62.85,1.42,0.19,""
Length17,1,T,14.26,0.98,14.29,49.08,3.94,49.20,1.54,0.23,""
Length17,2,T,11.80,3.44,12.29,35.22,16.23,38.34,1.54,0.23,""
Length18,1,T,12.80,0.49,12.81,56.66,2.20,56.69,1.44,0.26,""
Length18,2,T,13.55,0.00,13.55,67.97,0.00,67.97,1.44,0.26,""
Length19,1,T,13.51,0.98,13.55,39.26,4.16,39.44,1.14,0.22,""
Length20,1,T,13.43,0.00,13.43,44.98,0.00,44.98,1.37,0.25,""
Length20,2,T,12.11,0.98,12.15,63.54,4.63,63.64,1.37,0.25,""
Length20b,1,T,14.73,0.49,14.73,57.14,1.91,57.16,1.37,0.25,""
Length20c,1,T,15.24,0.98,15.28,84.46,3.68,84.47,1.37,0.25,""
Length20d,1,T,15.03,0.98,15.07,68.99,3.74,69.03,1.37,0.25,""
Length20e,1,T,15.29,0.49,15.30,51.19,1.84,51.22,1.37,0.25,""
Length21,1,T,14.96,0.98,14.99,20.49,3.75,20.82,1.55,0.24,""
Length22,1,T,9.72,0.98,9.77,76.67,5.77,76.74,1.26,0.17,""
Length23,1,T,13.42,3.44,13.86,67.64,14.36,68.38,1.43,0.29,""
Length24,1,T,15.57,0.98,15.60,39.43,3.61,39.57,1.35,0.26,""
Length24b,1,T,13.00,0.00,13.00,83.67,0.00,83.67,1.35,0.26,""
Length24b,2,T,13.87,0.00,13.87,23.98,0.00,23.98,1.35,0.26,""
Length25,1,T,15.16,0.98,15.19,70.84,3.71,70.88,1.43,0.29,""
Length26,1,T,12.00,1.47,12.09,64.28,7.00,64.48,1.58,0.08,""
Length26b,1,T,13.28,1.96,13.42,74.67,8.41,74.84,1.58,0.08,""
Length26c,1,T,11.73,3.93,12.37,55.40,18.51,57.42,1.58,0.08,""
Length27,1,T,13.48,0.49,13.48,34.95,2.09,35.01,1.48,0.29,""
Length28,1,T,14.32,0.49,14.33,59.64,1.96,59.66,1.42,0.16,""
Length29,1,T,14.65,0.00,14.65,61.61,0.00,61.61,1.43,0.22,""
Length29b,1,T,13.36,1.47,13.44,52.48,6.29,52.74,1.43,0.22,""
Length29c,1,T,12.32,0.49,12.33,58.45,2.28,58.48,1.43,0.22,""
Length30,1,T,12.50,0.49,12.51,50.59,2.25,50.63,1.38,0.17,""
Length31,1,T,13.58,0.00,13.58,65.42,0.00,65.42,1.45,0.25,""
Length32,1,T,13.10,0.49,13.11,74.75,2.15,74.76,1.15,0.25,""
Length33,1,T,14.48,0.49,14.49,75.22,1.94,75.23,1.33,0.52,""
Length34,1,T,12.10,0.49,12.11,71.74,2.32,71.75,1.39,0.25,""
Length35,1,T,14.34,0.00,14.34,89.49,0.00,89.49,1.24,0.20,""
Length36,1,T,13.28,0.00,13.28,86.83,0.00,86.83,1.28,0.25,""
Length36b,1,T,11.30,3.44,11.81,60.24,16.91,61.65,1.28,0.25,""
Length37,1,T,14.03,0.00,14.03,83.03,0.00,83.03,1.36,0.32,""
Length38,1,T,15.37,0.98,15.40,87.37,3.66,87.38,1.27,0.23,""
Length39,1,T,12.73,2.94,13.06,80.75,13.03,80.99,1.36,0.22,""
Length40,1,T,14.38,0.49,14.39,47.13,1.95,47.16,1.51,0.26,""
Length40b,1,T,15.17,0.98,15.20,41.83,3.70,41.97,1.51,0.26,""
Length40c,1,T,14.12,0.98,14.16,39.81,3.98,39.97,1.51,0.26,""
Length41,1,T,11.28,2.94,11.66,55.82,14.63,57.07,1.33,0.14,""
Length43,1,T,13.50,2.45,13.72,73.73,10.30,74.00,1.43,0.22,""
Length43b,1,T,12.31,2.45,12.55,83.99,11.28,84.10,1.43,0.22,""
Length44,1,T,12.74,0.49,12.75,56.95,2.21,56.98,1.56,0.27,""
Length44b,1,T,12.38,0.49,12.39,67.17,2.27,67.19,1.56,0.27,""
Length45,1,T,12.80,0.00,12.80,77.75,0.00,77.75,1.15,0.29,""
Length46,1,T,14.69,0.00,14.69,81.53,0.00,81.53,1.39,0.21,""
Length46b,1,T,11.89,0.49,11.90,51.77,2.36,51.81,1.39,0.21,""
Length46c,1,T,12.84,0.00,12.84,33.47,0.00,33.47,1.39,0.21,""
Length47,1,T,11.70,1.47,11.79,52.12,7.18,52.47,1.54,0.26,""
Length48,1,T,14.85,0.00,14.85,38.18,0.00,38.18,1.28,0.38,""
Length49,1,T,13.27,0.00,13.27,74.16,0.00,74.16,1.48,0.20,""
Length50,1,T,12.74,1.47,12.82,47.95,6.59,48.29,1.33,0.21,""
Length50b,1,T,15.35,2.45,15.55,44.99,9.08,45.70,1.29,0.28,""
Length51,1,T,13.98,0.98,14.01,64.40,4.02,64.46,1.51,0.21,""
Length51b,1,T,10.96,1.96,11.13,46.91,10.16,47.74,1.51,0.21,""
Length51c,1,T,12.00,2.45,12.24,52.38,11.56,53.27,1.51,0.21,""
Length51c,2,T,13.54,0.00,13.54,35.02,0.00,35.02,1.51,0.21,""
Length52,1,T,14.39,0.49,14.40,86.17,1.95,86.18,1.36,0.23,""
Length52b,1,T,13.34,1.47,13.42,36.97,6.30,37.42,1.36,0.23,""
Length52b,2,T,14.32,0.49,14.33,85.96,1.96,85.96,1.36,0.23,""
Length53,1,T,10.78,0.98,10.83,81.41,5.20,81.45,1.32,0.18,""
Length54,1,T,15.32,0.00,15.32,13.22,0.00,13.22,1.07,0.23,""
Length55,1,T,11.09,1.47,11.18,47.84,7.56,48.29,1.28,0.22,""
Length57,1,T,13.40,0.00,13.40,84.08,0.00,84.08,1.35,0.32,""
Length58,1,T,14.52,0.98,14.56,76.72,3.87,76.75,1.41,0.22,""
Length58,2,T,11.49,0.98,11.53,57.05,4.88,57.18,1.41,0.22,""
Length58b,1,T,14.04,0.49,14.05,34.88,2.00,34.93,1.41,0.22,""
Length58d,1,T,9.50,0.00,9.50,86.79,0.00,86.79,1.41,0.22,""
Length58e,1,T,13.20,0.49,13.21,77.16,2.13,77.17,1.41,0.22,""
Length58g,1,T,12.16,2.45,12.41,59.19,11.41,59.86,1.41,0.22,""
Length58h,1,T,13.15,0.49,13.16,49.17,2.14,49.20,1.41,0.22,""
